plant_name;nectar_min;nectar_max
Фацелия рябинолистная;250;500
Синяк обыкновенный;400;600
Резеда ароматная;200;200
Шалфей кольчатый;300;500
Мелисса лекарственная;130;150
Огуречная трава (бораго);70;100
Гречиха;100;140
Подсолнечник;250;300
Рапс озимый;50;80
Рапс яровой;80;100
Хлопчатник;100;300
Клевер белый и розовый;100;150
Клевер красный;100;200
Люцерна посевная;150;150
Люцерна серповидная;130;230
Эспарцет виколистный;120;120
Эспарцет песчаный;65;85
Эспарцет закавказский;400;400
Донник белый однолетний;200;300
Донник белый двулетний;200;400
Вика мохнатая (озимая);140;200
Сильфия пронзеннолистная;120;120
Окопник шершавый;160;160
Горчица белая;50;150
Горчица сизая;30;75
Кориандр посевной;120;300
Змееголовник молдавский (маточник);250;400
Иссоп лекарственный;100;150
Лаванда лекарственная;250;300
Мята перечная холодная;320;500
Пустырник волосистый;300;350
Шалфей лекарственный;130;160
Шалфей мускатный;380;400
Тмин обыкновенный;100;100
Валериана лекарственная;250;325
Дягиль лекарственный;180;200
Алтей лекарственныый;400;400
Амми зубная;830;830
Анис обыкновенный;60;70
Чабрец обыкновенный;140;140
Огурец посевной;30;30
Тыква обыкновенная;30;42
Арбуз обыкновенный;13;13
Дыня обыкновенная;30;30
Яблоня;25;25
Вишня обыкновенная;30;30
Груша;20;20
Черешня;40;40
Слива;20;25
Алыча;40;40
Абрикос;40;40
Персик;40;40
Айва;20;20
Смородина золотистая;50;60
Малина обыкновенная;60;100
Ежевика сизая;40;40
Барбарис;236;236
Черника;80;80
Кизил;20;20
Калина;30;30
Терн (слива колючая);25;25
Облепиха крушинновидная;100;100
Липа сердцевидная и липа пушистая;500;1200
Клен остролистый;180;200
Клен татарский;130;150
Ива;120;150
Акация белая;1000;1000
Акация розовая и желтая;1180;1200
Каштан конский;100;100
Софора японская;300;300
Гледичия;250;250
Рябина;40;40
Лох узколистный;180;200
Белоягодник;380;400
Лиций обыкновенный;780;800
Крушина ломкая;35;100
Вереск;160;200
Ракитник;280;300
Кизильник;140;160
Птелея трехлистная;100;150
Жимолость;100;200
Шиповник;130;150
Василек;130;130
Горошек мышиный;185;370
Герань луговая;25;60
Мать-и-мачеха;25;25
Плакун иволистный;140;280
Чистец болотный;70;140
Шалфей луговой;140;280
Шалфей мутовчатый;180;200
Очиток едкий;200;700
Яснотка белая;520;540
Кипрей, иван-чай;480;500
Душица обыкновенная;100;100
Котовник мятный;150;250
Сурепка;40;40
Ваточник (ласточник);200;850
Шандра белая (конская мята);50;50
Бодяк;140;140
Цикорий дикий;100;100
Лопух паутинистый;100;100
Мордовник;680;700
Одуванчик;130;150
